"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"19","chr1",12621601,12624000,2400,"*","Distal Intergenic",1,12667563,12673090,5528,1,"329096","ENSMUST00000181272.1",-43563
"20","chr1",12641801,12642000,200,"*","Distal Intergenic",1,12667563,12673090,5528,1,"329096","ENSMUST00000181272.1",-25563
"21","chr1",12653601,12661800,8200,"*","Exon (ENSMUST00000182390.1/ENSMUST00000182390.1, exon 1 of 1)",1,12667563,12673090,5528,1,"329096","ENSMUST00000181272.1",-5763
"22","chr1",12698201,12698400,200,"*","Intron (ENSMUST00000177608.7/240725, intron 1 of 21)",1,12692532,12852489,159958,1,"240725","ENSMUST00000186051.6",5669
"23","chr1",12711201,12723200,12000,"*","Promoter",1,12718459,12822916,104458,1,"240725","ENSMUST00000187376.6",0
"24","chr1",12745801,12746000,200,"*","Intron (ENSMUST00000177608.7/240725, intron 2 of 21)",1,12728119,12786639,58521,1,"240725","ENSMUST00000186405.6",17682
"25","chr1",13658601,13661400,2800,"*","Promoter",1,13623330,13660546,37217,2,"212442","ENSMUST00000027071.6",0
"26","chr1",14274601,14275200,600,"*","Exon (ENSMUST00000027066.12/14048, exon 5 of 18)",1,14170643,14304570,133928,2,"14048","ENSMUST00000190337.6",29370
"27","chr1",15072801,15073000,200,"*","Distal Intergenic",1,14872648,14918862,46215,2,"277328","ENSMUST00000041447.4",-153939
"28","chr1",15804001,15805200,1200,"*","Promoter",1,15805646,15844052,38407,1,"21749","ENSMUST00000188371.6",-446
"29","chr1",16102801,16112600,9800,"*","Promoter",1,16101295,16104662,3368,2,"19989","ENSMUST00000058437.13",0
"30","chr1",16172201,16172400,200,"*","Distal Intergenic",1,16130502,16132547,2046,1,"98711","ENSMUST00000152626.1",41699
"31","chr1",16226001,16243000,17000,"*","3' UTR",1,16130502,16132547,2046,1,"98711","ENSMUST00000152626.1",95499
"32","chr1",16271201,16271400,200,"*","Intron (ENSMUST00000162751.7/29819, intron 12 of 13)",1,16344198,16375395,31198,2,"29819","ENSMUST00000115360.7",103995
"33","chr1",17448601,17452600,4000,"*","Distal Intergenic",1,17601901,17630939,29039,1,"94227","ENSMUST00000088476.3",-149301
"34","chr1",17482601,17494800,12200,"*","Distal Intergenic",1,17601901,17630939,29039,1,"94227","ENSMUST00000088476.3",-107101
"35","chr1",20678801,20679200,400,"*","Promoter",1,20679010,20679082,73,1,"387202","ENSMUST00000083625.1",0
"36","chr1",20847001,20847200,200,"*","Distal Intergenic",1,20802968,20820312,17345,2,"17215","ENSMUST00000053266.10",-26689
"37","chr1",20870401,20890200,19800,"*","Promoter",1,20888650,20890473,1824,2,"77741","ENSMUST00000181654.1",273
"38","chr1",20921201,20923200,2000,"*","Promoter",1,20922259,20935756,13498,1,"74229","ENSMUST00000187651.1",0
"39","chr1",20940201,20940600,400,"*","Distal Intergenic",1,20951626,20955527,3902,1,"71877","ENSMUST00000160782.1",-11026
"40","chr1",20951001,20951800,800,"*","Promoter",1,20951626,20955527,3902,1,"71877","ENSMUST00000160782.1",0
"41","chr1",20973401,20974000,600,"*","Intron (ENSMUST00000038447.5/71877, intron 6 of 10)",1,20951688,20990841,39154,1,"71877","ENSMUST00000038447.5",21713
"42","chr1",20990401,21059200,68800,"*","Promoter",1,21004313,21043656,39344,2,"170829","ENSMUST00000187210.1",0
"43","chr1",21070201,21096600,26400,"*","Promoter",1,20996299,21079229,82931,2,"170829","ENSMUST00000037998.5",0
"44","chr1",23116601,23117200,600,"*","Intron (ENSMUST00000191045.1/ENSMUST00000191045.1, intron 3 of 3)",1,23100473,23102253,1781,2,"66755","ENSMUST00000073179.5",-14348
"45","chr1",23171601,23215000,43400,"*","Exon (ENSMUST00000191045.1/ENSMUST00000191045.1, exon 2 of 4)",1,23272269,23272339,71,1,"387225","ENSMUST00000083471.3",-57269
"46","chr1",23254001,23274600,20600,"*","Promoter",1,23272269,23272339,71,1,"387225","ENSMUST00000083471.3",0
"47","chr1",23923001,23923200,200,"*","Promoter",1,23845625,23922317,76693,2,"98366","ENSMUST00000027339.13",-684
"48","chr1",24548801,24558000,9200,"*","Exon (ENSMUST00000104275.1/ENSMUST00000104275.1, exon 1 of 1)",1,24279770,24587411,307642,2,"12823","ENSMUST00000051344.5",29411
"49","chr1",24677801,24678000,200,"*","Promoter",1,24678630,24765448,86819,1,"68421","ENSMUST00000191471.6",-630
"50","chr1",30874601,30875400,800,"*","Promoter",1,30815315,30873921,58607,2,"213109","ENSMUST00000191245.6",-680
"51","chr1",30951001,30951600,600,"*","Distal Intergenic",1,30940302,30949770,9469,2,"19243","ENSMUST00000233506.1",-1231
"52","chr1",31155201,31165800,10600,"*","Exon (ENSMUST00000189666.1/ENSMUST00000189666.1, exon 1 of 1)",1,31176401,31204725,28325,1,"266744","ENSMUST00000062560.13",-10601
"53","chr1",31843401,31844000,600,"*","Distal Intergenic",1,32172714,32658568,485855,1,"170771","ENSMUST00000027226.11",-328714
"54","chr1",32089801,32108600,18800,"*","Distal Intergenic",1,32172714,32658568,485855,1,"170771","ENSMUST00000027226.11",-64114
"55","chr1",33656801,33657600,800,"*","Intron (ENSMUST00000027312.10/19076, intron 5 of 13)",1,33453810,33669795,215986,2,"19076","ENSMUST00000027312.10",12195
"56","chr1",33673601,33675400,1800,"*","Exon (ENSMUST00000193126.1/ENSMUST00000193126.1, exon 1 of 1)",1,33669843,33670712,870,1,"67503","ENSMUST00000191965.1",3758
"57","chr1",33723401,33725400,2000,"*","5' UTR",1,33720407,33742561,22155,1,"19335","ENSMUST00000115174.3",2994
"58","chr1",33755001,33758600,3600,"*","Promoter",1,33745484,33757795,12312,2,"213539","ENSMUST00000044691.8",0
"59","chr1",33796401,33815400,19000,"*","Promoter",1,33761545,33814385,52841,2,"98403","ENSMUST00000139143.7",0
"60","chr1",33901201,33909600,8400,"*","Promoter",1,33908225,34307592,399368,1,"13518","ENSMUST00000183034.4",0
"61","chr1",33979001,33990400,11400,"*","Exon (ENSMUST00000122557.1/ENSMUST00000122557.1, exon 1 of 1)",1,34005880,34174795,168916,1,"13518","ENSMUST00000187486.6",-15480
"62","chr1",34006001,34078200,72200,"*","Promoter",1,34006126,34137136,131011,1,"13518","ENSMUST00000182314.7",0
"63","chr1",34102401,34154200,51800,"*","Promoter",1,34117359,34117431,73,1,"102466987","ENSMUST00000198033.1",0
"64","chr1",34237401,34238800,1400,"*","Promoter",1,34236596,34274283,37688,1,"13518","ENSMUST00000194192.2",805
"65","chr1",34312001,34314000,2000,"*","Distal Intergenic",1,34294446,34306651,12206,1,"13518","ENSMUST00000182507.3",17555
"66","chr1",34433001,34434400,1400,"*","Promoter",1,34427002,34433264,6263,2,"100628580","ENSMUST00000192173.1",0
"67","chr1",35206201,35207200,1000,"*","Distal Intergenic",1,34851837,34863475,11639,1,"226971","ENSMUST00000152654.2",354364
"68","chr1",35274601,35274800,200,"*","Distal Intergenic",1,34851837,34863475,11639,1,"226971","ENSMUST00000152654.2",422764
"69","chr1",35934601,35934800,200,"*","Distal Intergenic",1,36068400,36106446,38047,1,"50785","ENSMUST00000088174.3",-133600
"70","chr1",36015601,36039200,23600,"*","Exon (ENSMUST00000195698.1/ENSMUST00000195698.1, exon 1 of 1)",1,36068400,36106446,38047,1,"50785","ENSMUST00000088174.3",-29200
"71","chr1",36064401,36070600,6200,"*","Promoter",1,36068400,36106446,38047,1,"50785","ENSMUST00000088174.3",0
"72","chr1",36117001,36118000,1000,"*","Distal Intergenic",1,36144252,36144313,62,2,"102465540","ENSMUST00000184790.1",26313
"73","chr1",36129401,36130200,800,"*","Distal Intergenic",1,36144252,36144313,62,2,"102465540","ENSMUST00000184790.1",14113
"74","chr1",36174601,36174800,200,"*","Intron (ENSMUST00000046875.13/320011, intron 23 of 40)",1,36161747,36173473,11727,2,"320011","ENSMUST00000174224.7",-1128
"75","chr1",36456801,36458200,1400,"*","Distal Intergenic",1,36428392,36445271,16880,2,"214895","ENSMUST00000123583.1",-11530
"76","chr1",36472801,36473200,400,"*","Exon (ENSMUST00000153128.1/94220, exon 1 of 7)",1,36471620,36508764,37145,1,"94220","ENSMUST00000153128.1",1181
"77","chr1",36555201,36571200,16000,"*","Promoter",1,36548639,36558349,9711,2,"20353","ENSMUST00000191677.5",0
"78","chr1",36690801,36691200,400,"*","Promoter",1,36691449,36693386,1938,1,"12859","ENSMUST00000081180.6",-249
"79","chr1",36935001,36935200,200,"*","Intron (ENSMUST00000027290.11/56030, intron 1 of 40)",1,36792191,36939527,147337,2,"56030","ENSMUST00000027290.11",4327
"80","chr1",37631201,37631400,200,"*","Exon (ENSMUST00000162875.7/72097, exon 5 of 10)",1,37611677,37625242,13566,2,"72097","ENSMUST00000160023.5",-5959
"81","chr1",37865801,37871200,5400,"*","Promoter",1,37760823,37866429,105607,2,"211484","ENSMUST00000088072.9",0
"82","chr1",37996001,37996200,200,"*","Promoter",1,37987640,37995845,8206,2,"98258","ENSMUST00000192960.5",-156
"83","chr1",38130801,38131000,200,"*","Promoter",1,38107683,38129801,22119,2,"56210","ENSMUST00000195383.1",-1000
"84","chr1",38203401,38337600,134200,"*","Exon (ENSMUST00000127620.1/ENSMUST00000127620.1, exon 1 of 4)",1,38181262,38197443,16182,2,"16764","ENSMUST00000136641.2",-5958
"85","chr1",38353801,38359800,6000,"*","Intron (ENSMUST00000095027.8/16764, intron 5 of 21)",1,38181262,38197443,16182,2,"16764","ENSMUST00000136641.2",-156358
"86","chr1",38390801,38404200,13400,"*","Exon (ENSMUST00000143261.7/ENSMUST00000143261.7, exon 4 of 5)",1,38181262,38197443,16182,2,"16764","ENSMUST00000136641.2",-193358
"87","chr1",38440401,38440800,400,"*","Intron (ENSMUST00000095027.8/16764, intron 4 of 21)",1,38177326,38627185,449860,2,"16764","ENSMUST00000095027.8",186385
"88","chr1",38514001,38516800,2800,"*","Intron (ENSMUST00000095027.8/16764, intron 4 of 21)",1,38177326,38627185,449860,2,"16764","ENSMUST00000095027.8",110385
"89","chr1",38546601,38550600,4000,"*","Intron (ENSMUST00000095027.8/16764, intron 1 of 21)",1,38177326,38627185,449860,2,"16764","ENSMUST00000095027.8",76585
"90","chr1",38606801,38610400,3600,"*","Intron (ENSMUST00000095027.8/16764, intron 1 of 21)",1,38177326,38627185,449860,2,"16764","ENSMUST00000095027.8",16785
"91","chr1",38977201,38991000,13800,"*","Promoter",1,38985608,38997238,11631,1,"68833","ENSMUST00000027247.10",0
"92","chr1",39104801,39106600,1800,"*","Distal Intergenic",1,39186896,39186992,97,2,"102466631","ENSMUST00000184059.1",80392
"93","chr1",39254201,39261600,7400,"*","Intron (ENSMUST00000173050.7/18143, intron 1 of 2)",1,39194212,39363236,169025,1,"18143","ENSMUST00000056815.8",59989
"94","chr1",39279001,39287800,8800,"*","Exon (ENSMUST00000173050.7/18143, exon 3 of 3)",1,39341555,39345466,3912,1,"18143","ENSMUST00000172825.1",-53755
"95","chr1",39348401,39350000,1600,"*","Exon (ENSMUST00000056815.8/18143, exon 19 of 21)",1,39341555,39345466,3912,1,"18143","ENSMUST00000172825.1",6846
"96","chr1",39370201,39370400,200,"*","Promoter",1,39369850,39371366,1517,1,"114641","ENSMUST00000191855.1",351
"97","chr1",39479601,39480600,1000,"*","Promoter",1,39371492,39478755,107264,2,"54610","ENSMUST00000054462.10",-846
"98","chr1",39556601,39557200,600,"*","Intron (ENSMUST00000062525.10/67702, intron 5 of 6)",1,39555605,39558757,3153,2,"67702","ENSMUST00000153381.1",1557
"99","chr1",39715401,39715600,200,"*","Intron (ENSMUST00000151913.2/619289, intron 2 of 14)",1,39665301,39720997,55697,2,"619289","ENSMUST00000151913.2",5397
"100","chr1",39750801,39765400,14600,"*","Distal Intergenic",1,39665301,39720997,55697,2,"619289","ENSMUST00000151913.2",-29804
"101","chr1",39866401,39869800,3400,"*","Distal Intergenic",1,39842428,39847334,4907,2,"73426","ENSMUST00000186683.1",-19067
"102","chr1",39897001,39907200,10200,"*","Promoter",1,39900913,40026310,125398,1,"26921","ENSMUST00000163854.8",0
"103","chr1",40220001,40237400,17400,"*","Promoter",1,40225080,40317257,92178,1,"16177","ENSMUST00000027241.10",0
"104","chr1",40264801,40287400,22600,"*","Promoter",1,40266586,40316201,49616,1,"16177","ENSMUST00000114795.2",0
"105","chr1",40359401,40362600,3200,"*","Intron (ENSMUST00000095020.8/107527, intron 9 of 10)",1,40325611,40329171,3561,1,"107527","ENSMUST00000193388.1",33790
"106","chr1",40380201,40451000,70800,"*","Promoter",1,40429570,40446723,17154,1,"17082","ENSMUST00000174335.7",0
"107","chr1",40464001,40476600,12600,"*","Promoter",1,40465552,40491578,26027,1,"16182","ENSMUST00000167723.7",0
"108","chr1",40513001,40518800,5800,"*","Promoter",1,40515362,40551705,36344,1,"16174","ENSMUST00000027237.11",0
"109","chr1",40541601,40544200,2600,"*","Promoter",1,40541692,40547903,6212,1,"16174","ENSMUST00000160468.1",0
"110","chr1",40584001,40588200,4200,"*","Exon (ENSMUST00000027233.8/110895, exon 2 of 12)",1,40580204,40585425,5222,1,"110895","ENSMUST00000192849.1",3797
"111","chr1",40789001,40789200,200,"*","Intron (ENSMUST00000039672.5/211798, intron 1 of 5)",1,40781230,40790657,9428,2,"211798","ENSMUST00000144385.1",1457
"112","chr1",40836001,40856400,20400,"*","3' UTR",1,40805601,40856887,51287,1,"381339","ENSMUST00000114765.3",30400
"113","chr1",40866801,40867200,400,"*","Distal Intergenic",1,40805601,40856887,51287,1,"381339","ENSMUST00000114765.3",61200
"114","chr1",43093601,43093800,200,"*","Promoter",1,43047220,43092729,45510,2,"73122","ENSMUST00000186694.6",-872
"115","chr1",43113401,43292400,179000,"*","Promoter",1,43123074,43163961,40888,2,"14200","ENSMUST00000008280.13",0
"116","chr1",43302601,43317000,14400,"*","Exon (ENSMUST00000189899.1/ENSMUST00000189899.1, exon 1 of 6)",1,43123290,43196984,73695,2,"14200","ENSMUST00000185893.1",-105617
"117","chr1",43356601,43363600,7000,"*","Distal Intergenic",1,43444579,43533632,89054,1,"17974","ENSMUST00000187435.6",-80979
"118","chr1",43463401,43475800,12400,"*","Intron (ENSMUST00000187435.6/17974, intron 1 of 2)",1,43445751,43570515,124765,1,"17974","ENSMUST00000086421.8",17650
"119","chr1",43820001,43821800,1800,"*","Intron (ENSMUST00000126008.7/67883, intron 1 of 14)",1,43771730,43827016,55287,2,"67883","ENSMUST00000136179.7",5216
"120","chr1",44549001,44597000,48000,"*","Promoter",1,44551511,44796838,245328,1,"70676","ENSMUST00000074525.9",0
"121","chr1",44677401,44681200,3800,"*","Intron (ENSMUST00000074525.9/70676, intron 1 of 10)",1,44689144,44796825,107682,1,"70676","ENSMUST00000162600.1",-7944
"122","chr1",44738401,44750200,11800,"*","Promoter",1,44739676,44744949,5274,2,"75066","ENSMUST00000186732.1",0
"123","chr1",44784001,44784200,200,"*","Intron (ENSMUST00000074525.9/70676, intron 9 of 10)",1,44739676,44744949,5274,2,"75066","ENSMUST00000186732.1",-39052
"124","chr1",45019201,45044600,25400,"*","Distal Intergenic",1,45311538,45325018,13481,1,"12825","ENSMUST00000129611.1",-266938
"125","chr1",45269001,45360600,91600,"*","Promoter",1,45311538,45325018,13481,1,"12825","ENSMUST00000129611.1",0
"126","chr1",45385801,45406400,20600,"*","Promoter",1,45389031,45393634,4604,2,"12832","ENSMUST00000150143.1",0
"127","chr1",45424001,45424200,200,"*","Intron (ENSMUST00000086430.4/12832, intron 8 of 53)",1,45417474,45422411,4938,2,"12832","ENSMUST00000131535.1",-1590
"128","chr1",45435601,45436400,800,"*","Exon (ENSMUST00000086430.4/12832, exon 5 of 54)",1,45417474,45422411,4938,2,"12832","ENSMUST00000131535.1",-13190
"129","chr1",45452201,45551800,99600,"*","Promoter",1,45374321,45503282,128962,2,"12832","ENSMUST00000086430.4",0
"130","chr1",45576401,45627800,51400,"*","Exon (ENSMUST00000185744.1/ENSMUST00000185744.1, exon 1 of 2)",1,45414199,45503282,89084,2,"12832","ENSMUST00000134681.7",-73119
"131","chr1",45670801,45674600,3800,"*","Distal Intergenic",1,45795166,45823619,28454,1,"73674","ENSMUST00000027139.14",-120566
"132","chr1",45755201,45770000,14800,"*","Exon (ENSMUST00000187682.1/ENSMUST00000187682.1, exon 1 of 1)",1,45795166,45823619,28454,1,"73674","ENSMUST00000027139.14",-25166
"133","chr1",45794201,45794800,600,"*","Promoter",1,45795166,45823619,28454,1,"73674","ENSMUST00000027139.14",-366
"134","chr1",45859601,45860600,1000,"*","Distal Intergenic",1,45822558,45823616,1059,1,"73674","ENSMUST00000186651.1",37043
"135","chr1",45873401,45873600,200,"*","Distal Intergenic",1,45918928,45923309,4382,2,"53945","ENSMUST00000188252.6",49709
"136","chr1",46854601,46855800,1200,"*","Promoter",1,46807544,46854046,46503,2,"227059","ENSMUST00000027131.5",-555
"137","chr1",46881401,46886800,5400,"*","Intron (ENSMUST00000186852.1/227059, intron 1 of 1)",1,46835738,46888070,52333,2,"227059","ENSMUST00000185520.1",1270
"138","chr1",48881401,48881600,200,"*","Distal Intergenic",1,49244616,49338246,93631,1,"442837","ENSMUST00000056879.8",-363016
"139","chr1",51120801,51127200,6400,"*","Intron (ENSMUST00000081851.3/56363, intron 5 of 9)",1,51289126,51302960,13835,1,"20324","ENSMUST00000051572.7",-161926
"140","chr1",51263801,51265000,1200,"*","Intron (ENSMUST00000189867.1/442821, intron 2 of 4)",1,51289126,51302960,13835,1,"20324","ENSMUST00000051572.7",-24126
"141","chr1",51289401,51290200,800,"*","Promoter",1,51289126,51302960,13835,1,"20324","ENSMUST00000051572.7",275
"142","chr1",51335001,51335800,800,"*","Distal Intergenic",1,51218386,51333779,115394,2,"442821","ENSMUST00000189867.1",-1222
"143","chr1",51479401,51533600,54200,"*","Promoter",1,51507086,51512329,5244,2,"100045066","ENSMUST00000190169.1",0
"144","chr1",51572801,51596600,23800,"*","Promoter",1,51509505,51596718,87214,2,"100045066","ENSMUST00000189410.1",118
"145","chr1",51624401,51625400,1000,"*","Distal Intergenic",1,51509505,51596718,87214,2,"100045066","ENSMUST00000189410.1",-27683
"146","chr1",51681201,51691600,10400,"*","Distal Intergenic",1,51760353,51764470,4118,2,"17912","ENSMUST00000145367.1",72870
"147","chr1",51744601,51749800,5200,"*","3' UTR",1,51760353,51764470,4118,2,"17912","ENSMUST00000145367.1",14670
"148","chr1",51779801,51824200,44400,"*","Promoter",1,51776393,51795225,18833,2,"17912","ENSMUST00000136701.1",0
"149","chr1",51839401,51839600,200,"*","Intron (ENSMUST00000046390.13/17912, intron 3 of 29)",1,51834464,51851106,16643,2,"17912","ENSMUST00000123299.1",11506
"150","chr1",52111401,52119200,7800,"*","Promoter",1,52119440,52155412,35973,1,"20846","ENSMUST00000186574.6",-240
"151","chr1",52253601,52255600,2000,"*","Distal Intergenic",1,52184104,52233232,49129,2,"14660","ENSMUST00000114510.7",-20369
"152","chr1",53773201,53782200,9000,"*","5' UTR",1,53761149,53785157,24009,2,"98267","ENSMUST00000185920.1",2957
"153","chr1",53839001,53847200,8200,"*","Promoter",1,53832692,53841171,8480,2,"329152","ENSMUST00000150677.7",0
"154","chr1",54126801,54130600,3800,"*","Intron (ENSMUST00000120904.7/329152, intron 1 of 28)",1,53806876,54194048,387173,2,"329152","ENSMUST00000120904.7",63448
"155","chr1",54605201,54605400,200,"*","Distal Intergenic",1,54524284,54557684,33401,2,"241062","ENSMUST00000185817.1",-47517
"156","chr1",54713601,54715200,1600,"*","Intron (ENSMUST00000190007.6/ENSMUST00000190007.6, intron 1 of 4)",1,54667213,54723076,55864,2,"329154","ENSMUST00000179242.1",7876
"157","chr1",54766601,54766800,200,"*","Promoter",1,54743299,54766423,23125,2,"329154","ENSMUST00000177919.7",-178
"158","chr1",54798401,54809400,11000,"*","Intron (ENSMUST00000179030.7/329154, intron 2 of 27)",1,54762368,54813443,51076,2,"329154","ENSMUST00000178905.1",4043
"159","chr1",54829601,54856800,27200,"*","Intron (ENSMUST00000179030.7/329154, intron 1 of 27)",1,54762368,54813443,51076,2,"329154","ENSMUST00000178905.1",-16158
"160","chr1",54868001,54877800,9800,"*","Intron (ENSMUST00000179030.7/329154, intron 1 of 27)",1,54766792,54884711,117920,2,"329154","ENSMUST00000177679.1",6911
"161","chr1",54889001,54908200,19200,"*","Intron (ENSMUST00000179030.7/329154, intron 1 of 27)",1,54766792,54884711,117920,2,"329154","ENSMUST00000177679.1",-4290
"162","chr1",54924801,54925400,600,"*","Promoter",1,54735302,54926354,191053,2,"329154","ENSMUST00000178935.7",954
"163","chr1",55051601,55052000,400,"*","Promoter",1,55052770,55071953,19184,1,"67876","ENSMUST00000087617.10",-770
"164","chr1",55851401,55869400,18000,"*","Distal Intergenic",1,55931241,55972098,40858,1,"329159","ENSMUST00000189293.1",-61841
"165","chr1",56677201,56688600,11400,"*","Distal Intergenic",1,56636044,56637435,1392,2,"71066","ENSMUST00000062085.5",-39766
"166","chr1",56969201,56976800,7600,"*","Promoter",1,56793981,56972502,178522,2,"212712","ENSMUST00000042857.13",0
"167","chr1",57055601,57057200,1600,"*","Distal Intergenic",1,56969740,56978650,8911,2,"212712","ENSMUST00000177282.1",-76951
"168","chr1",57074601,57077200,2600,"*","Distal Intergenic",1,56969740,56978650,8911,2,"212712","ENSMUST00000177282.1",-95951
"169","chr1",57970601,57971200,600,"*","Promoter",1,57955248,57970128,14881,2,"51960","ENSMUST00000114410.9",-473
"170","chr1",57988601,57999000,10400,"*","Promoter",1,57995971,58025899,29929,1,"68549","ENSMUST00000027202.8",0
"171","chr1",58024601,58033200,8600,"*","Promoter",1,58029931,58106413,76483,1,"11761","ENSMUST00000001027.6",0
"172","chr1",58300001,58306000,6000,"*","Exon (ENSMUST00000114366.2/213043, exon 12 of 36)",1,58278326,58380259,101934,1,"213043","ENSMUST00000114366.2",21675
"173","chr1",58358001,58367600,9600,"*","Exon (ENSMUST00000114366.2/213043, exon 34 of 36)",1,58392898,58407353,14456,1,"66882","ENSMUST00000050552.14",-25298
"174","chr1",58447401,58447600,200,"*","Promoter",1,58447631,58462266,14636,1,"65102","ENSMUST00000171597.1",-31
"175","chr1",58649001,58677600,28600,"*","Promoter",1,58652641,58655831,3191,1,"100504501","ENSMUST00000185352.1",0
"176","chr1",58698201,58763000,64800,"*","Promoter",1,58711508,58713886,2379,1,"12633","ENSMUST00000149874.7",0
"177","chr1",58794001,58797400,3400,"*","Promoter",1,58795374,58847503,52130,1,"12370","ENSMUST00000027189.14",0
"178","chr1",58855401,58859800,4400,"*","Intron (ENSMUST00000188624.1/ENSMUST00000188624.1, intron 8 of 11)",1,58903672,58907212,3541,2,"70827","ENSMUST00000172685.1",47412
"179","chr1",58952401,58960800,8400,"*","Intron (ENSMUST00000027186.11/70827, intron 1 of 15)",1,58903504,58946337,42834,2,"70827","ENSMUST00000174120.1",-6064
"180","chr1",59121001,59121200,200,"*","Promoter",1,59109090,59120408,11319,2,"381259","ENSMUST00000186395.1",-593
"181","chr1",59476401,59480400,4000,"*","Distal Intergenic",1,59482424,59486955,4532,1,"14369","ENSMUST00000114246.3",-2024
"182","chr1",59572001,59579800,7800,"*","Intron (ENSMUST00000114243.7/381260, intron 11 of 19)",1,59582396,59607805,25410,1,"381260","ENSMUST00000212835.1",-2596
"183","chr1",59607801,59609800,2000,"*","Promoter",1,59606816,59630303,23488,1,"381260","ENSMUST00000185753.6",985
"184","chr1",59996801,60003600,6800,"*","Exon (ENSMUST00000027172.12/70375, exon 10 of 11)",1,60015255,60022615,7361,2,"70375","ENSMUST00000187364.1",19015
"185","chr1",60609001,60622800,13800,"*","Exon (ENSMUST00000158348.1/ENSMUST00000158348.1, exon 1 of 1)",1,60525688,60567104,41417,2,"77300","ENSMUST00000142258.2",-41897
"186","chr1",60763001,60763200,200,"*","Exon (ENSMUST00000132833.1/12487, exon 4 of 4)",1,60746402,60764626,18225,1,"12487","ENSMUST00000153207.1",16599
"187","chr1",60801401,60801600,200,"*","Intron (ENSMUST00000130082.1/ENSMUST00000130082.1, intron 3 of 3)",1,60746402,60764626,18225,1,"12487","ENSMUST00000153207.1",54999
"188","chr1",60822201,60830400,8200,"*","Distal Intergenic",1,60887000,60912716,25717,1,"12477","ENSMUST00000124816.1",-56600
"189","chr1",60858401,60860200,1800,"*","Distal Intergenic",1,60887000,60912716,25717,1,"12477","ENSMUST00000124816.1",-26800
"190","chr1",60898201,60901200,3000,"*","Exon (ENSMUST00000124816.1/12477, exon 3 of 4)",1,60909025,60915832,6808,1,"12477","ENSMUST00000027164.8",-7825
"191","chr1",60915201,60918400,3200,"*","3' UTR",1,60909171,60914769,5599,1,"12477","ENSMUST00000097720.3",6030
"192","chr1",61057001,61068600,11600,"*","Distal Intergenic",1,60977927,61000320,22394,1,"54167","ENSMUST00000102827.3",79074
"193","chr1",61091601,61101000,9400,"*","Distal Intergenic",1,60977927,61000320,22394,1,"54167","ENSMUST00000102827.3",113674
"194","chr1",61135401,61145800,10400,"*","Distal Intergenic",1,60977927,61000320,22394,1,"54167","ENSMUST00000102827.3",157474
